date,previous,loss,actual,predicted
2022-05-08 05:00:00,,,1.0000000000,
2022-05-08 06:00:00,,,0.9916666667,
2022-05-08 07:00:00,0.9916666667,-0.0083333333,0.9833333333,
2022-05-08 08:00:00,0.9833333333,-0.0084033614,0.9750000000,
2022-05-08 09:00:00,0.9750000000,-0.0084745762,0.9666666667,
2022-05-08 10:00:00,0.9666666667,-0.0085470085,0.9583333333,
2022-05-08 11:00:00,0.9583333333,-0.0086206897,0.9500000000,
2022-05-08 12:00:00,0.9500000000,-0.0086956521,0.9416666667,
2022-05-08 13:00:00,0.9416666667,-0.0087719298,0.9333333333,
2022-05-08 14:00:00,0.9333333333,-0.0088495576,0.9250000000,
2022-05-08 15:00:00,0.9250000000,-0.0089285714,0.9166666667,
2022-05-08 16:00:00,0.9166666667,-0.0090090090,0.9083333333,
2022-05-08 17:00:00,0.9083333333,-0.0090909092,0.9000000000,
2022-05-08 18:00:00,0.9000000000,-0.0091743119,0.8916666667,
2022-05-08 19:00:00,0.8916666667,-0.0092592592,0.8833333333,
2022-05-08 20:00:00,0.8833333333,-0.0093457945,0.8750000000,
2022-05-08 21:00:00,0.8750000000,-0.0094339622,0.8666666667,
2022-05-08 22:00:00,0.8666666667,-0.0095238095,0.8583333333,
2022-05-08 23:00:00,0.8583333333,-0.0096153847,0.8500000000,
2022-05-09 00:00:00,0.8500000000,-0.0097087378,0.8416666667,
2022-05-09 01:00:00,0.8416666667,-0.0098039215,0.8333333333,
2022-05-09 02:00:00,0.8333333333,-0.0099009902,0.8250000000,
2022-05-09 03:00:00,0.8250000000,-0.0100000000,0.8166666667,
2022-05-09 04:00:00,0.8166666667,-0.0101010101,0.8083333333,
2022-05-09 05:00:00,0.8083333333,-0.0102040817,0.8000000000,
2022-05-09 06:00:00,0.8000000000,-0.0103092783,0.7916666667,
2022-05-09 07:00:00,0.7916666667,-0.0104166666,0.7833333333,
2022-05-09 08:00:00,0.7833333333,-0.0105263159,0.7750000000,
2022-05-09 09:00:00,0.7750000000,-0.0106382978,0.7666666667,
2022-05-09 10:00:00,0.7666666667,-0.0107526881,0.7583333333,
2022-05-09 11:00:00,0.7583333333,-0.0108695653,0.7500000000,
2022-05-09 12:00:00,0.7500000000,-0.0109890109,0.7416666667,
2022-05-09 13:00:00,0.7416666667,-0.0111111111,0.7333333333,
2022-05-09 14:00:00,0.7333333333,-0.0112359551,0.7250000000,
2022-05-09 15:00:00,0.7250000000,-0.0113636363,0.7166666667,
2022-05-09 16:00:00,0.7166666667,-0.0114942528,0.7083333333,
2022-05-09 17:00:00,0.7083333333,-0.0116279071,0.7000000000,
2022-05-09 18:00:00,0.7000000000,-0.0117647058,0.6916666667,
2022-05-09 19:00:00,0.6916666667,-0.0119047619,0.6833333333,
2022-05-09 20:00:00,0.6833333333,-0.0120481929,0.6750000000,
2022-05-09 21:00:00,0.6750000000,-0.0121951219,0.6666666667,
2022-05-09 22:00:00,0.6666666667,-0.0123456790,0.6583333333,
2022-05-09 23:00:00,0.6583333333,-0.0125000001,0.6500000000,
2022-05-10 00:00:00,0.6500000000,-0.0126582278,0.6416666667,
2022-05-10 01:00:00,0.6416666667,-0.0128205128,0.6333333333,
2022-05-10 02:00:00,0.6333333333,-0.0129870131,0.6250000000,
2022-05-10 03:00:00,0.6250000000,-0.0131578947,0.6166666667,
2022-05-10 04:00:00,0.6166666667,-0.0133333333,0.6083333333,
2022-05-10 05:00:00,0.6083333333,-0.0135135136,0.6000000000,
2022-05-10 06:00:00,0.6000000000,-0.0136986301,0.5916666667,
2022-05-10 07:00:00,0.5916666667,-0.0138888888,0.5833333333,
2022-05-10 08:00:00,0.5833333333,-0.0140845072,0.5750000000,
2022-05-10 09:00:00,0.5750000000,-0.0142857142,0.5666666667,
2022-05-10 10:00:00,0.5666666667,-0.0144927536,0.5583333333,
2022-05-10 11:00:00,0.5583333333,-0.0147058825,0.5500000000,
2022-05-10 12:00:00,0.5500000000,-0.0149253731,0.5416666667,
2022-05-10 13:00:00,0.5416666667,-0.0151515151,0.5333333333,
2022-05-10 14:00:00,0.5333333333,-0.0153846155,0.5250000000,
2022-05-10 15:00:00,0.5250000000,-0.0156249999,0.5166666667,
2022-05-10 16:00:00,0.5166666667,-0.0158730158,0.5083333333,
2022-05-10 17:00:00,0.5083333333,-0.0161290324,0.5000000000,
2022-05-10 18:00:00,0.5000000000,-0.0163934426,0.4916666667,
2022-05-10 19:00:00,0.4916666667,-0.0166666666,0.4833333333,
2022-05-10 20:00:00,0.4833333333,-0.0169491527,0.4750000000,
2022-05-10 21:00:00,0.4750000000,-0.0172413792,0.4666666667,
2022-05-10 22:00:00,0.4666666667,-0.0175438596,0.4583333333,
2022-05-10 23:00:00,0.4583333333,-0.0178571430,0.4500000000,
2022-05-11 00:00:00,0.4500000000,-0.0181818181,0.4416666667,
2022-05-11 01:00:00,0.4416666667,-0.0185185184,0.4333333333,
2022-05-11 02:00:00,0.4333333333,-0.0188679247,0.4250000000,
2022-05-11 03:00:00,0.4250000000,-0.0192307692,0.4166666667,
2022-05-11 04:00:00,0.4166666667,-0.0196078431,0.4083333333,
2022-05-11 05:00:00,0.4083333333,-0.0200000002,0.4000000000,
2022-05-11 06:00:00,0.4000000000,-0.0204081632,0.3937500000,
2022-05-11 07:00:00,0.3937500000,-0.0156250000,0.3875000000,
2022-05-11 08:00:00,0.3875000000,-0.0158730159,0.3812500000,
2022-05-11 09:00:00,0.3812500000,-0.0161290323,0.3750000000,
2022-05-11 10:00:00,0.3750000000,-0.0163934426,0.3687500000,
2022-05-11 11:00:00,0.3687500000,-0.0166666667,0.3625000000,
2022-05-11 12:00:00,0.3625000000,-0.0169491525,0.3562500000,
2022-05-11 13:00:00,0.3562500000,-0.0172413793,0.3500000000,
2022-05-11 14:00:00,0.3500000000,-0.0175438596,0.3437500000,
2022-05-11 15:00:00,0.3437500000,-0.0178571429,0.3375000000,
2022-05-11 16:00:00,0.3375000000,-0.0181818182,0.3312500000,
2022-05-11 17:00:00,0.3312500000,-0.0185185185,0.3250000000,
2022-05-11 18:00:00,0.3250000000,-0.0188679245,0.3187500000,
2022-05-11 19:00:00,0.3187500000,-0.0192307692,0.3125000000,
2022-05-11 20:00:00,0.3125000000,-0.0196078431,0.3062500000,
2022-05-11 21:00:00,0.3062500000,-0.0200000000,0.3000000000,
2022-05-11 22:00:00,0.3000000000,-0.0204081633,0.2937500000,
2022-05-11 23:00:00,0.2937500000,-0.0208333333,0.2875000000,
2022-05-12 00:00:00,0.2875000000,-0.0212765957,0.2812500000,
2022-05-12 01:00:00,0.2812500000,-0.0217391304,0.2750000000,
2022-05-12 02:00:00,0.2750000000,-0.0222222222,0.2687500000,
2022-05-12 03:00:00,0.2687500000,-0.0227272727,0.2625000000,
2022-05-12 04:00:00,0.2625000000,-0.0232558140,0.2562500000,
2022-05-12 05:00:00,0.2562500000,-0.0238095238,0.2500000000,
2022-05-12 06:00:00,0.2500000000,-0.0243902439,0.2458333333,
2022-05-12 07:00:00,0.2458333333,-0.0166666668,0.2416666667,
2022-05-12 08:00:00,0.2416666667,-0.0169491523,0.2375000000,
2022-05-12 09:00:00,0.2375000000,-0.0172413794,0.2333333333,
2022-05-12 10:00:00,0.2333333333,-0.0175438598,0.2291666667,
2022-05-12 11:00:00,0.2291666667,-0.0178571426,0.2250000000,
2022-05-12 12:00:00,0.2250000000,-0.0181818183,0.2208333333,
2022-05-12 13:00:00,0.2208333333,-0.0185185187,0.2166666667,
2022-05-12 14:00:00,0.2166666667,-0.0188679242,0.2125000000,
2022-05-12 15:00:00,0.2125000000,-0.0192307694,0.2083333333,
2022-05-12 16:00:00,0.2083333333,-0.0196078433,0.2041666667,
2022-05-12 17:00:00,0.2041666667,-0.0199999997,0.2000000000,
2022-05-12 18:00:00,0.2000000000,-0.0204081634,0.1958333333,
2022-05-12 19:00:00,0.1958333333,-0.0208333335,0.1916666667,
2022-05-12 20:00:00,0.1916666667,-0.0212765954,0.1875000000,
2022-05-12 21:00:00,0.1875000000,-0.0217391306,0.1833333333,
2022-05-12 22:00:00,0.1833333333,-0.0222222224,0.1791666667,
2022-05-12 23:00:00,0.1791666667,-0.0227272724,0.1750000000,
2022-05-13 00:00:00,0.1750000000,-0.0232558141,0.1708333333,
2022-05-13 01:00:00,0.1708333333,-0.0238095240,0.1666666667,
2022-05-13 02:00:00,0.1666666667,-0.0243902435,0.1625000000,
2022-05-13 03:00:00,0.1625000000,-0.0250000002,0.1583333333,
2022-05-13 04:00:00,0.1583333333,-0.0256410258,0.1541666667,
2022-05-13 05:00:00,0.1541666667,-0.0263157891,0.1500000000,
2022-05-13 06:00:00,0.1500000000,-0.0270270272,0.1487500000,
2022-05-13 07:00:00,0.1487500000,-0.0083333333,0.1475000000,
2022-05-13 08:00:00,0.1475000000,-0.0084033613,0.1462500000,
2022-05-13 09:00:00,0.1462500000,-0.0084745763,0.1450000000,
2022-05-13 10:00:00,0.1450000000,-0.0085470085,0.1437500000,
2022-05-13 11:00:00,0.1437500000,-0.0086206897,0.1425000000,
2022-05-13 12:00:00,0.1425000000,-0.0086956522,0.1412500000,
2022-05-13 13:00:00,0.1412500000,-0.0087719298,0.1400000000,
2022-05-13 14:00:00,0.1400000000,-0.0088495575,0.1387500000,
2022-05-13 15:00:00,0.1387500000,-0.0089285714,0.1375000000,
2022-05-13 16:00:00,0.1375000000,-0.0090090090,0.1362500000,
2022-05-13 17:00:00,0.1362500000,-0.0090909091,0.1350000000,
2022-05-13 18:00:00,0.1350000000,-0.0091743119,0.1337500000,
2022-05-13 19:00:00,0.1337500000,-0.0092592593,0.1325000000,
2022-05-13 20:00:00,0.1325000000,-0.0093457944,0.1312500000,
2022-05-13 21:00:00,0.1312500000,-0.0094339623,0.1300000000,
2022-05-13 22:00:00,0.1300000000,-0.0095238095,0.1287500000,
2022-05-13 23:00:00,0.1287500000,-0.0096153846,0.1275000000,
2022-05-14 00:00:00,0.1275000000,-0.0097087379,0.1262500000,
2022-05-14 01:00:00,0.1262500000,-0.0098039216,0.1250000000,
2022-05-14 02:00:00,0.1250000000,-0.0099009901,0.1237500000,
2022-05-14 03:00:00,0.1237500000,-0.0100000000,0.1225000000,
2022-05-14 04:00:00,0.1225000000,-0.0101010101,0.1212500000,
2022-05-14 05:00:00,0.1212500000,-0.0102040816,0.1200000000,
2022-05-14 06:00:00,0.1200000000,-0.0103092784,0.1191666667,
2022-05-14 07:00:00,0.1191666667,-0.0069444442,0.1183333333,
2022-05-14 08:00:00,0.1183333333,-0.0069930076,0.1175000000,
2022-05-14 09:00:00,0.1175000000,-0.0070422532,0.1166666667,
2022-05-14 10:00:00,0.1166666667,-0.0070921983,0.1158333333,
2022-05-14 11:00:00,0.1158333333,-0.0071428577,0.1150000000,
2022-05-14 12:00:00,0.1150000000,-0.0071942443,0.1141666667,
2022-05-14 13:00:00,0.1141666667,-0.0072463765,0.1133333333,
2022-05-14 14:00:00,0.1133333333,-0.0072992707,0.1125000000,
2022-05-14 15:00:00,0.1125000000,-0.0073529409,0.1116666667,
2022-05-14 16:00:00,0.1116666667,-0.0074074071,0.1108333333,
2022-05-14 17:00:00,0.1108333333,-0.0074626872,0.1100000000,
2022-05-14 18:00:00,0.1100000000,-0.0075187967,0.1091666667,
2022-05-14 19:00:00,0.1091666667,-0.0075757573,0.1083333333,
2022-05-14 20:00:00,0.1083333333,-0.0076335884,0.1075000000,
2022-05-14 21:00:00,0.1075000000,-0.0076923074,0.1066666667,
2022-05-14 22:00:00,0.1066666667,-0.0077519377,0.1058333333,
2022-05-14 23:00:00,0.1058333333,-0.0078125006,0.1050000000,
2022-05-15 00:00:00,0.1050000000,-0.0078740154,0.1041666667,
2022-05-15 01:00:00,0.1041666667,-0.0079365076,0.1033333333,
2022-05-15 02:00:00,0.1033333333,-0.0080000006,0.1025000000,
2022-05-15 03:00:00,0.1025000000,-0.0080645158,0.1016666667,
2022-05-15 04:00:00,0.1016666667,-0.0081300810,0.1008333333,
2022-05-15 05:00:00,0.1008333333,-0.0081967220,0.1000000000,
2022-05-15 06:00:00,0.1000000000,-0.0082644625,0.0993750000,
2022-05-15 07:00:00,0.0993750000,-0.0062500000,0.0987500000,
2022-05-15 08:00:00,0.0987500000,-0.0062893082,0.0981250000,
2022-05-15 09:00:00,0.0981250000,-0.0063291139,0.0975000000,
2022-05-15 10:00:00,0.0975000000,-0.0063694268,0.0968750000,
2022-05-15 11:00:00,0.0968750000,-0.0064102564,0.0962500000,
2022-05-15 12:00:00,0.0962500000,-0.0064516129,0.0956250000,
2022-05-15 13:00:00,0.0956250000,-0.0064935065,0.0950000000,
2022-05-15 14:00:00,0.0950000000,-0.0065359477,0.0943750000,
2022-05-15 15:00:00,0.0943750000,-0.0065789474,0.0937500000,
2022-05-15 16:00:00,0.0937500000,-0.0066225166,0.0931250000,
2022-05-15 17:00:00,0.0931250000,-0.0066666667,0.0925000000,
2022-05-15 18:00:00,0.0925000000,-0.0067114094,0.0918750000,
2022-05-15 19:00:00,0.0918750000,-0.0067567568,0.0912500000,
2022-05-15 20:00:00,0.0912500000,-0.0068027211,0.0906250000,
2022-05-15 21:00:00,0.0906250000,-0.0068493151,0.0900000000,
2022-05-15 22:00:00,0.0900000000,-0.0068965517,0.0893750000,
2022-05-15 23:00:00,0.0893750000,-0.0069444444,0.0887500000,
2022-05-16 00:00:00,0.0887500000,-0.0069930070,0.0881250000,
2022-05-16 01:00:00,0.0881250000,-0.0070422535,0.0875000000,
2022-05-16 02:00:00,0.0875000000,-0.0070921986,0.0868750000,
2022-05-16 03:00:00,0.0868750000,-0.0071428571,0.0862500000,
2022-05-16 04:00:00,0.0862500000,-0.0071942446,0.0856250000,
2022-05-16 05:00:00,0.0856250000,-0.0072463768,0.0850000000,
2022-05-16 06:00:00,0.0850000000,-0.0072992701,0.0845833333,
2022-05-16 07:00:00,0.0845833333,-0.0049019612,0.0841666667,
2022-05-16 08:00:00,0.0841666667,-0.0049261076,0.0837500000,
2022-05-16 09:00:00,0.0837500000,-0.0049504954,0.0833333333,
2022-05-16 10:00:00,0.0833333333,-0.0049751248,0.0829166667,
2022-05-16 11:00:00,0.0829166667,-0.0049999992,0.0825000000,
2022-05-16 12:00:00,0.0825000000,-0.0050251260,0.0820833333,
2022-05-16 13:00:00,0.0820833333,-0.0050505055,0.0816666667,
2022-05-16 14:00:00,0.0816666667,-0.0050761413,0.0812500000,
2022-05-16 15:00:00,0.0812500000,-0.0051020412,0.0808333333,
2022-05-16 16:00:00,0.0808333333,-0.0051282055,0.0804166667,
2022-05-16 17:00:00,0.0804166667,-0.0051546384,0.0800000000,
2022-05-16 18:00:00,0.0800000000,-0.0051813476,0.0795833333,
2022-05-16 19:00:00,0.0795833333,-0.0052083338,0.0791666667,
2022-05-16 20:00:00,0.0791666667,-0.0052356013,0.0787500000,
2022-05-16 21:00:00,0.0787500000,-0.0052631583,0.0783333333,
2022-05-16 22:00:00,0.0783333333,-0.0052910057,0.0779166667,
2022-05-16 23:00:00,0.0779166667,-0.0053191481,0.0775000000,
2022-05-17 00:00:00,0.0775000000,-0.0053475940,0.0770833333,
2022-05-17 01:00:00,0.0770833333,-0.0053763445,0.0766666667,
2022-05-17 02:00:00,0.0766666667,-0.0054054045,0.0762500000,
2022-05-17 03:00:00,0.0762500000,-0.0054347830,0.0758333333,
2022-05-17 04:00:00,0.0758333333,-0.0054644813,0.0754166667,
2022-05-17 05:00:00,0.0754166667,-0.0054945046,0.0750000000,
2022-05-17 06:00:00,0.0750000000,-0.0055248623,0.0746666667,
2022-05-17 07:00:00,0.0746666667,-0.0044444440,0.0743333333,
2022-05-17 08:00:00,0.0743333333,-0.0044642866,0.0740000000,
2022-05-17 09:00:00,0.0740000000,-0.0044843045,0.0736666667,
2022-05-17 10:00:00,0.0736666667,-0.0045045041,0.0733333333,
2022-05-17 11:00:00,0.0733333333,-0.0045248878,0.0730000000,
2022-05-17 12:00:00,0.0730000000,-0.0045454541,0.0726666667,
2022-05-17 13:00:00,0.0726666667,-0.0045662096,0.0723333333,
2022-05-17 14:00:00,0.0723333333,-0.0045871569,0.0720000000,
2022-05-17 15:00:00,0.0720000000,-0.0046082945,0.0716666667,
2022-05-17 16:00:00,0.0716666667,-0.0046296292,0.0713333333,
2022-05-17 17:00:00,0.0713333333,-0.0046511637,0.0710000000,
2022-05-17 18:00:00,0.0710000000,-0.0046728967,0.0706666667,
2022-05-17 19:00:00,0.0706666667,-0.0046948352,0.0703333333,
2022-05-17 20:00:00,0.0703333333,-0.0047169821,0.0700000000,
2022-05-17 21:00:00,0.0700000000,-0.0047393360,0.0696666667,
2022-05-17 22:00:00,0.0696666667,-0.0047619043,0.0693333333,
2022-05-17 23:00:00,0.0693333333,-0.0047846899,0.0690000000,
2022-05-18 00:00:00,0.0690000000,-0.0048076918,0.0686666667,
2022-05-18 01:00:00,0.0686666667,-0.0048309174,0.0683333333,
2022-05-18 02:00:00,0.0683333333,-0.0048543699,0.0680000000,
2022-05-18 03:00:00,0.0680000000,-0.0048780483,0.0676666667,
2022-05-18 04:00:00,0.0676666667,-0.0049019603,0.0673333333,
2022-05-18 05:00:00,0.0673333333,-0.0049261094,0.0670000000,
2022-05-18 06:00:00,0.0670000000,-0.0049504946,0.0667083333,
2022-05-18 07:00:00,0.0667083333,-0.0043532343,0.0664166667,
2022-05-18 08:00:00,0.0664166667,-0.0043722663,0.0661250000,
2022-05-18 09:00:00,0.0661250000,-0.0043914685,0.0658333333,
2022-05-18 10:00:00,0.0658333333,-0.0044108386,0.0655416667,
2022-05-18 11:00:00,0.0655416667,-0.0044303787,0.0652500000,
2022-05-18 12:00:00,0.0652500000,-0.0044500959,0.0649583333,
2022-05-18 13:00:00,0.0649583333,-0.0044699877,0.0646666667,
2022-05-18 14:00:00,0.0646666667,-0.0044900567,0.0643750000,
2022-05-18 15:00:00,0.0643750000,-0.0045103098,0.0640833333,
2022-05-18 16:00:00,0.0640833333,-0.0045307449,0.0637916667,
2022-05-18 17:00:00,0.0637916667,-0.0045513644,0.0635000000,
2022-05-18 18:00:00,0.0635000000,-0.0045721756,0.0632083333,
2022-05-18 19:00:00,0.0632083333,-0.0045931764,0.0629166667,
2022-05-18 20:00:00,0.0629166667,-0.0046143694,0.0626250000,
2022-05-18 21:00:00,0.0626250000,-0.0046357621,0.0623333333,
2022-05-18 22:00:00,0.0623333333,-0.0046573525,0.0620416667,
2022-05-18 23:00:00,0.0620416667,-0.0046791433,0.0617500000,
2022-05-19 00:00:00,0.0617500000,-0.0047011422,0.0614583333,
2022-05-19 01:00:00,0.0614583333,-0.0047233474,0.0611666667,
2022-05-19 02:00:00,0.0611666667,-0.0047457616,0.0608750000,
2022-05-19 03:00:00,0.0608750000,-0.0047683929,0.0605833333,
2022-05-19 04:00:00,0.0605833333,-0.0047912394,0.0602916667,
2022-05-19 05:00:00,0.0602916667,-0.0048143043,0.0600000000,
2022-05-19 06:00:00,0.0600000000,-0.0048375956,0.0598333333,
2022-05-19 07:00:00,0.0598333333,-0.0027777783,0.0596666667,
2022-05-19 08:00:00,0.0596666667,-0.0027855142,0.0595000000,
2022-05-19 09:00:00,0.0595000000,-0.0027932966,0.0593333333,
2022-05-19 10:00:00,0.0593333333,-0.0028011210,0.0591666667,
2022-05-19 11:00:00,0.0591666667,-0.0028089876,0.0590000000,
2022-05-19 12:00:00,0.0590000000,-0.0028169020,0.0588333333,
2022-05-19 13:00:00,0.0588333333,-0.0028248593,0.0586666667,
2022-05-19 14:00:00,0.0586666667,-0.0028328601,0.0585000000,
2022-05-19 15:00:00,0.0585000000,-0.0028409097,0.0583333333,
2022-05-19 16:00:00,0.0583333333,-0.0028490034,0.0581666667,
2022-05-19 17:00:00,0.0581666667,-0.0028571417,0.0580000000,
2022-05-19 18:00:00,0.0580000000,-0.0028653301,0.0578333333,
2022-05-19 19:00:00,0.0578333333,-0.0028735638,0.0576666667,
2022-05-19 20:00:00,0.0576666667,-0.0028818432,0.0575000000,
2022-05-19 21:00:00,0.0575000000,-0.0028901740,0.0573333333,
2022-05-19 22:00:00,0.0573333333,-0.0028985513,0.0571666667,
2022-05-19 23:00:00,0.0571666667,-0.0029069756,0.0570000000,
2022-05-20 00:00:00,0.0570000000,-0.0029154525,0.0568333333,
2022-05-20 01:00:00,0.0568333333,-0.0029239772,0.0566666667,
2022-05-20 02:00:00,0.0566666667,-0.0029325501,0.0565000000,
2022-05-20 03:00:00,0.0565000000,-0.0029411771,0.0563333333,
2022-05-20 04:00:00,0.0563333333,-0.0029498531,0.0561666667,
2022-05-20 05:00:00,0.0561666667,-0.0029585787,0.0560000000,
2022-05-20 06:00:00,0.0560000000,-0.0029673596,0.0557500000,
2022-05-20 07:00:00,0.0557500000,-0.0044642857,0.0555000000,
2022-05-20 08:00:00,0.0555000000,-0.0044843049,0.0552500000,
2022-05-20 09:00:00,0.0552500000,-0.0045045045,0.0550000000,
2022-05-20 10:00:00,0.0550000000,-0.0045248869,0.0547500000,
2022-05-20 11:00:00,0.0547500000,-0.0045454545,0.0545000000,
2022-05-20 12:00:00,0.0545000000,-0.0045662100,0.0542500000,
2022-05-20 13:00:00,0.0542500000,-0.0045871560,0.0540000000,
2022-05-20 14:00:00,0.0540000000,-0.0046082949,0.0537500000,
2022-05-20 15:00:00,0.0537500000,-0.0046296296,0.0535000000,
2022-05-20 16:00:00,0.0535000000,-0.0046511628,0.0532500000,
2022-05-20 17:00:00,0.0532500000,-0.0046728972,0.0530000000,
2022-05-20 18:00:00,0.0530000000,-0.0046948357,0.0527500000,
2022-05-20 19:00:00,0.0527500000,-0.0047169811,0.0525000000,
2022-05-20 20:00:00,0.0525000000,-0.0047393365,0.0522500000,
2022-05-20 21:00:00,0.0522500000,-0.0047619048,0.0520000000,
2022-05-20 22:00:00,0.0520000000,-0.0047846890,0.0517500000,
2022-05-20 23:00:00,0.0517500000,-0.0048076923,0.0515000000,
2022-05-21 00:00:00,0.0515000000,-0.0048309179,0.0512500000,
2022-05-21 01:00:00,0.0512500000,-0.0048543689,0.0510000000,
2022-05-21 02:00:00,0.0510000000,-0.0048780488,0.0507500000,
2022-05-21 03:00:00,0.0507500000,-0.0049019608,0.0505000000,
2022-05-21 04:00:00,0.0505000000,-0.0049261084,0.0502500000,
2022-05-21 05:00:00,0.0502500000,-0.0049504950,0.0500000000,
2022-05-21 06:00:00,0.0500000000,-0.0049751244,0.0497916667,
2022-05-21 07:00:00,0.0497916667,-0.0041666660,0.0495833333,
2022-05-21 08:00:00,0.0495833333,-0.0041841018,0.0493750000,
2022-05-21 09:00:00,0.0493750000,-0.0042016800,0.0491666667,
2022-05-21 10:00:00,0.0491666667,-0.0042194086,0.0489583333,
2022-05-21 11:00:00,0.0489583333,-0.0042372895,0.0487500000,
2022-05-21 12:00:00,0.0487500000,-0.0042553185,0.0485416667,
2022-05-21 13:00:00,0.0485416667,-0.0042735036,0.0483333333,
2022-05-21 14:00:00,0.0483333333,-0.0042918469,0.0481250000,
2022-05-21 15:00:00,0.0481250000,-0.0043103441,0.0479166667,
2022-05-21 16:00:00,0.0479166667,-0.0043290036,0.0477083333,
2022-05-21 17:00:00,0.0477083333,-0.0043478275,0.0475000000,
2022-05-21 18:00:00,0.0475000000,-0.0043668115,0.0472916667,
2022-05-21 19:00:00,0.0472916667,-0.0043859642,0.0470833333,
2022-05-21 20:00:00,0.0470833333,-0.0044052878,0.0468750000,
2022-05-21 21:00:00,0.0468750000,-0.0044247781,0.0466666667,
2022-05-21 22:00:00,0.0466666667,-0.0044444437,0.0464583333,
2022-05-21 23:00:00,0.0464583333,-0.0044642871,0.0462500000,
2022-05-22 00:00:00,0.0462500000,-0.0044843042,0.0460416667,
2022-05-22 01:00:00,0.0460416667,-0.0045045038,0.0458333333,
2022-05-22 02:00:00,0.0458333333,-0.0045248883,0.0456250000,
2022-05-22 03:00:00,0.0456250000,-0.0045454538,0.0454166667,
2022-05-22 04:00:00,0.0454166667,-0.0045662093,0.0452083333,
